Task Name                                               Steps  Description
====================================================================================================================================================================================
AudioRecorderRecordAudio                                   12  Record an audio clip using Audio Recorder app and save it.
AudioRecorderRecordAudioWithFileName                       20  Record an audio clip and save it with name "2023_05_04_talk.m4a" using Audio Recorder app.
BrowserDraw                                                20  Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then create a drawing using the three colors...
BrowserMaze                                                20  Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then navigate the X to the bottom-right cell...
BrowserMultiply                                            22  Open the file task.html in Downloads in the file manager; when prompted open it with Chrome. Then click the button 5 times, remember the ...
CalendarQueryThenSmsAndMarkor                              45  Check my schedule for 2023-10-25 in Simple Calendar Pro. Send the titles of all events on that date to +11719781443 via Simple SMS Messen...
CameraTakePhoto                                            10  Take one photo.
CameraTakeVideo                                            10  Take one video.
ClockStopWatchPausedVerify                                 10  Pause the stopwatch.
ClockStopWatchRunning                                      10  Run the stopwatch.
ClockTimerEntry                                            10  Create a timer with 3 hours, 46 minutes, and 12 seconds. Do not start the timer.
ContactsAddContact                                         12  Create a new contact for Daniel Ahmed. Their number is +18782774390.
ContactsNewContactDraft                                    12  Go to the new contact screen and enter the following details: First Name: Frank, Last Name: Adams, Phone: 954-569-5586, Phone Label: Home...
ExpenseAddMultiple                                         60  Add the following expenses into the pro expense: Expense: Salary  amount_dollars: $70.38  category_name: Income  note: A need  Expense: C...
ExpenseAddMultipleFromGallery                              60  Add the expenses from expenses.jpg in Simple Gallery Pro to pro expense.
ExpenseAddMultipleFromMarkor                               60  Go through the transactions in my_expenses.txt in Markor. Log the reimbursable transactions in the pro expense.
ExpenseAddSingle                                           12  Add the following expenses into the pro expense: name|amount_dollars|category_name|note Online Courses|$427.92|Education|I may repeat this
ExpenseDeleteDuplicates                                    12  Delete all but one of any expenses in pro expense that are exact duplicates, ensuring at least one instance of each unique expense remains.
ExpenseDeleteDuplicates2                                   18  Delete all but one of any expenses in pro expense that are exact duplicates, ensuring at least one instance of each unique expense remains.
ExpenseDeleteMultiple                                      20  Delete the following expenses from pro expense: Wellness Products, Household Items, Cleaning Services.
ExpenseDeleteMultiple2                                     34  Delete the following expenses from pro expense: Fine Dining, Club Membership, Food Delivery.
ExpenseDeleteSingle                                        10  Delete the following expenses from pro expense: Textbooks.
FilesDeleteFile                                            22  Delete the file tough_dog_copy.exe from the Android filesystem located in the Download folder within the sdk_gphone_x86_64 storage area.
FilesMoveFile                                              20  Move the file therapy_session.mp3 from DCIM within the sdk_gphone_x86_64 storage area to the Recordings within the same sdk_gphone_x86_64...
MarkorAddNoteHeader                                        12  Update the Markor note copy_strong_elephant.txt by adding the following text, along with a new blank line before the existing content: "k...
MarkorChangeNoteContent                                    12  Update the content of warm_fish_copy.md to "0AGviYuktIbqysamsZd2" in Markor and change its name to friendly_lion_tkMh.md.
MarkorCreateFolder                                         10  Create a new folder in Markor named folder_20260529_103944.
MarkorCreateNote                                           16  Create a new note in Markor named bright_igloo_Q3Qz.md with the following text: You can't make an omelette without breaking a few eggs.
MarkorCreateNoteAndSms                                     18  Create a new note in Markor named 4H6D_fancy_lamp.md with the following text: Better late than never.. Share the entire content of the no...
MarkorCreateNoteFromClipboard                              14  Create a note in Markor named friendly_sun_4WC0.txt. Perform a paste operation in the note and save the note.
MarkorDeleteAllNotes                                       14  Delete all my notes in Markor.
MarkorDeleteNewestNote                                     10  Delete the newest note in Markor.
MarkorDeleteNote                                           10  Delete the note in Markor named brave_queen_XU1T.
MarkorEditNote                                             12  Edit note_ZMjuN.md in Markor. Add to the bottom of the note Lunch meeting with Sarah at 1 PM Cafe L'amour.
MarkorMergeNotes                                           78  Merge the contents of Markor notes fancy_umbrella_BAMe.md, 2023_01_25_proud_elephant.txt and witty_deer_edited.txt (in the same order) in...
MarkorMoveNote                                             14  In Markor, move the note calm_lamp_edited.txt from FitnessPlans to TravelItineraries.
MarkorTranscribeReceipt                                    18  Create a file in Markor, called receipt.md with the transactions from the receipt.png. Use Simple Gallery to view the receipt. Please ent...
MarkorTranscribeVideo                                      20  Transcribe the contents of video y6Yv_highlight_52_4K.mp4 by watching it in VLC player (located in Download) and writing the sequence of ...
NotesIsTodo                                                10  Is the note titled 'Travel Itinerary' in the Joplin app marked as a todo item? Respond with either 'True' if it is a todo or 'False' if not.
NotesMeetingAttendeeCount                                  10  How many attendees were present in the meeting titled 'Vendor Negotiation Meeting' in the Joplin app? Express your answer as just a singl...
NotesRecipeIngredientCount                                 10  What quantity of matcha powder do I need for the recipe 'Vegetable Stir-fry' in the Joplin app? Express your answer in the format <amount...
NotesTodoItemCount                                         10  How many to-dos do I have in the 'School' folder in the Joplin app? Express your answer as just a single number.
OpenAppTaskEval                                            10  Open the contacts app. Clear any pop-ups that may appear by granting all permissions that are required.
OsmAndFavorite                                             13  Add a favorite location marker for 47.23976, 9.5262837 in the OsmAnd maps app.
OsmAndMarker                                               20  Add a location marker for Ruggell, Liechtenstein in the OsmAnd maps app.
OsmAndTrack                                               120  Save a track with waypoints Nendeln, Liechtenstein, Bendern, Liechtenstein in the OsmAnd maps app in the same order as listed.
RecipeAddMultipleRecipes                                   60  Add the following recipes into the Broccoli app: Recipe: Kale and Quinoa Salad  description: A quick and easy meal, perfect for busy week...
RecipeAddMultipleRecipesFromImage                          60  Add the recipes from recipes.jpg in Simple Gallery Pro to the Broccoli recipe app.
RecipeAddMultipleRecipesFromMarkor                         60  Add the recipes from recipes.txt in Markor to the Broccoli recipe app.
RecipeAddMultipleRecipesFromMarkor2                        60  Add the recipes from recipes.txt in Markor that take 30 mins to prepare into the Broccoli recipe app.
RecipeAddSingleRecipe                                      24  Add the following recipes into the Broccoli app: Recipe: Veggie and Hummus Sandwich  description: An ideal recipe for experimenting with ...
RecipeDeleteDuplicateRecipes                               10  Delete all but one of any recipes in the Broccoli app that are exact duplicates, ensuring at least one instance of each unique recipe rem...
RecipeDeleteDuplicateRecipes2                              24  Delete all but one of any recipes in the Broccoli app that are exact duplicates, ensuring at least one instance of each unique recipe rem...
RecipeDeleteDuplicateRecipes3                              34  Delete all but one of any recipes in the Broccoli app that are exact duplicates, ensuring at least one instance of each unique recipe rem...
RecipeDeleteMultipleRecipes                                24  Delete the following recipes from Broccoli app: Salmon with Dill Sauce, Kale and Quinoa Salad, Lentil Soup.
RecipeDeleteMultipleRecipesWithConstraint                  40  Delete the recipes from Broccoli app that use açai berry in the directions.
RecipeDeleteMultipleRecipesWithNoise                       34  Delete the following recipes from Broccoli app: Beef Stir Fry, Tomato Basil Bruschetta, Quinoa Salad with Vegetables.
RecipeDeleteSingleRecipe                                   10  Delete the following recipes from Broccoli app: Sausage and Peppers Skillet.
RecipeDeleteSingleWithRecipeWithNoise                      20  Delete the following recipes from Broccoli app: Vegetable Stir Fry with Tofu.
RetroCreatePlaylist                                        24  Create a playlist in Retro Music titled "Classical Moods 307" with the following songs, in order: Heartbeat Away, Falling Feathers, Mysti...
RetroPlayingQueue                                          32  Add the following songs, in order, Moments, Under the Sky to my playing queue in Retro music.
RetroPlaylistDuration                                      30  Create a playlist in Retro Music titled "Electronic Waves 365" with a duration between 45 and 50 minutes using the provided songs.
RetroSavePlaylist                                          50  Create a playlist in Retro Music titled "Country Roads 547" with the following songs, in order: Bright Lights, Endless Summer. Then expor...
SaveCopyOfReceiptTaskEval                                  16  In Simple Gallery Pro, copy receipt_final_strong_violin.jpg in DCIM and save a copy with the same name in Download
SimpleCalendarAddOneEvent                                  34  In Simple Calendar Pro, create a calendar event on 2023-10-17 at 4h with the title 'Appointment for Budget Planning' and the description ...
